id,x_unit,y_unit,size_type
1,0,0,small
2,2,0,small
3,4,0,small
4,6,0,small
5,8,0,small
6,10,0,small
7,12,0,small
8,14,0,small
9,16,0,small
10,16,2,small
11,16,4,small
12,16,6,small
13,16,8,small
14,16,10,small
15,16,12,small
16,16,14,small
17,16,16,small
18,14,16,small
19,12,16,small
20,10,16,small
21,8,16,small
22,6,16,small
23,4,16,small
24,2,16,small
25,0,16,small
26,0,14,small
27,0,12,small
28,0,10,small
29,0,8,small
30,0,6,small
31,0,4,small
32,0,2,small
33,8,8,small
34,8,6,small
35,10,8,small
36,8,10,small
37,6,8,small
38,8,4,small
39,12,8,small
40,8,12,small
41,4,8,small
42,8,2,small
43,14,8,small
44,8,14,small
45,2,8,small
91,2,2,big
92,10,2,big
93,2,10,big
94,10,10,big
