id,size_type,x_center_unit,y_center_unit,x_offset_unit,y_offset_unit
1,small,0.5,0.5,-8,8
2,small,2.5,0.5,-6,8
3,small,4.5,0.5,-4,8
4,small,6.5,0.5,-2,8
5,small,8.5,0.5,0,8
6,small,10.5,0.5,2,8
7,small,12.5,0.5,4,8
8,small,14.5,0.5,6,8
9,small,16.5,0.5,8,8
10,small,16.5,2.5,8,6
11,small,16.5,4.5,8,4
12,small,16.5,6.5,8,2
13,small,16.5,8.5,8,0
14,small,16.5,10.5,8,-2
15,small,16.5,12.5,8,-4
16,small,16.5,14.5,8,-6
17,small,16.5,16.5,8,-8
18,small,14.5,16.5,6,-8
19,small,12.5,16.5,4,-8
20,small,10.5,16.5,2,-8
21,small,8.5,16.5,0,-8
22,small,6.5,16.5,-2,-8
23,small,4.5,16.5,-4,-8
24,small,2.5,16.5,-6,-8
25,small,0.5,16.5,-8,-8
26,small,0.5,14.5,-8,-6
27,small,0.5,12.5,-8,-4
28,small,0.5,10.5,-8,-2
29,small,0.5,8.5,-8,0
30,small,0.5,6.5,-8,2
31,small,0.5,4.5,-8,4
32,small,0.5,2.5,-8,6
33,small,8.5,8.5,0,0
34,small,8.5,6.5,0,2
35,small,10.5,8.5,2,0
36,small,8.5,10.5,0,-2
37,small,6.5,8.5,-2,0
38,small,8.5,4.5,0,4
39,small,12.5,8.5,4,0
40,small,8.5,12.5,0,-4
41,small,4.5,8.5,-4,0
42,small,8.5,2.5,0,6
43,small,14.5,8.5,6,0
44,small,8.5,14.5,0,-6
45,small,2.5,8.5,-6,0
91,big,4.5,4.5,-4,4
92,big,12.5,4.5,4,4
93,big,4.5,12.5,-4,-4
94,big,12.5,12.5,4,-4
