Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber
0.0625881, 6.4033e-05, 0.000216281, 0.000100212, 1020, 629, 11610
0.000743553, 0.00021709, 0.000523771, 0.000227246, 1023, 617, 6615
0.000517878, 0.000170314, 0.000346077, 0.000133587, 1029, 631, 4590
0.000527916, 0.000154961, 0.000370878, 0.000150826, 1013, 588, 5049
0.000210563, 6.7622e-05, 0.000139007, 4.4575e-05, 1024, 625, 3618
0.000288343, 0.000117207, 0.000168432, 5.2393e-05, 1029, 640, 2565
0.000435171, 0.000178513, 0.000254422, 9.2664e-05, 1032, 639, 2592
0.000329786, 0.000142712, 0.000185129, 5.7971e-05, 1016, 597, 2025
0.000356288, 0.00015553, 0.00019859, 5.8993e-05, 1025, 608, 1863
0.000238266, 0.000107955, 0.000128988, 3.8201e-05, 1024, 637, 1998
0.000290668, 0.000110066, 0.000178914, 5.629e-05, 1023, 648, 2349
0.000279516, 0.000127901, 0.00015018, 5.0197e-05, 1026, 612, 1998
0.000200815, 8.9445e-05, 0.000109919, 3.2289e-05, 1010, 588, 1836
0.000300851, 0.000136284, 0.000161782, 4.9764e-05, 1022, 628, 1863
0.000244217, 0.000109676, 0.000133109, 4.0373e-05, 1023, 642, 2133
0.000450978, 0.000191899, 0.000256396, 7.7056e-05, 1018, 610, 1917
0.000409965, 0.000181382, 0.000226051, 7.1354e-05, 1024, 637, 2187
0.000234268, 0.000105414, 0.000126894, 3.467e-05, 1024, 636, 1539
0.000403336, 0.000180234, 0.000220157, 6.735e-05, 1015, 604, 1161
0.00012772, 5.5469e-05, 7.0515e-05, 1.801e-05, 1011, 603, 1431
0.00024361, 0.000108937, 0.000131263, 3.6273e-05, 1018, 635, 1539
0.000139691, 6.5735e-05, 7.182e-05, 1.7942e-05, 1019, 635, 1323
0.000215047, 0.000107955, 0.000105264, 2.6631e-05, 1020, 613, 1377
0.000279774, 0.000129053, 0.000146814, 4.0863e-05, 1002, 594, 1431
0.000272365, 0.000124753, 0.000145, 3.9711e-05, 1020, 633, 1566
0.000234546, 0.000111584, 0.000119533, 3.4205e-05, 1024, 638, 1674
0.000156409, 6.8028e-05, 8.4574e-05, 2.6723e-05, 1026, 622, 1944
0.000139678, 5.545e-05, 8.2834e-05, 2.7447e-05, 985, 559, 2241
0.000386659, 0.00017481, 0.000208649, 7.1519e-05, 1024, 633, 1809
0.000206733, 9.6904e-05, 0.000108639, 3.4258e-05, 1025, 615, 2025
0.000272155, 0.000119863, 0.000148682, 4.5797e-05, 1015, 613, 1890
0.000262152, 0.000113587, 0.000146171, 4.8561e-05, 980, 537, 1971
0.000184435, 0.000114913, 6.6797e-05, 9.535e-06, 1020, 631, 324
0.000413474, 0.000206647, 0.000204362, 6.0799e-05, 1030, 602, 1674
0.000183105, 9.5333e-05, 8.4012e-05, 2.053e-05, 1017, 625, 1134
0.000138818, 6.3844e-05, 7.1204e-05, 2.0673e-05, 990, 552, 1647
